epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,10910.9,0.98146,0.47202,1.2198,0.99716,0.98718,0.98996,0.71175,1.11411,0.41961,1.42836,0.00137394,0.00137394,0.00137394
74,11049.2,0.97538,0.45308,1.22078,0.99756,0.99573,0.995,0.68836,1.16744,0.43094,1.49424,0.00136628,0.00136628,0.00136628
75,11187.2,0.9889,0.46682,1.23207,0.99188,0.99145,0.98914,0.68708,1.14817,0.43696,1.47418,0.00135854,0.00135854,0.00135854
76,11325.8,1.01955,0.45943,1.23948,0.99251,0.98718,0.99039,0.69095,1.14599,0.41411,1.46245,0.00135073,0.00135073,0.00135073
77,11464.2,0.9673,0.45489,1.2234,0.99785,0.99499,0.995,0.70885,1.11777,0.42308,1.43794,0.00134284,0.00134284,0.00134284
78,11602.7,0.97281,0.46206,1.20926,0.99711,0.99512,0.995,0.69607,1.1418,0.41386,1.44632,0.00133489,0.00133489,0.00133489
79,11740.9,0.97103,0.44227,1.21304,0.99812,0.99534,0.995,0.70577,1.12588,0.41248,1.44294,0.00132685,0.00132685,0.00132685
80,11879.2,0.95502,0.42901,1.2043,0.99698,0.99573,0.995,0.69315,1.12852,0.3967,1.45203,0.00131875,0.00131875,0.00131875
81,12016.9,0.95837,0.44984,1.19591,0.99739,0.99573,0.995,0.69949,1.1307,0.42068,1.42012,0.00131058,0.00131058,0.00131058
82,12155.1,0.977,0.43956,1.2046,0.99701,0.99145,0.99,0.69566,1.15327,0.41284,1.42494,0.00130234,0.00130234,0.00130234
83,12293.2,0.96996,0.43883,1.21648,0.99597,0.99508,0.995,0.69808,1.0953,0.40572,1.39213,0.00129404,0.00129404,0.00129404
84,12431.1,0.96808,0.43806,1.20532,0.99719,0.99573,0.995,0.70676,1.0929,0.40282,1.39447,0.00128566,0.00128566,0.00128566
85,12569.5,0.95309,0.45215,1.20581,0.99739,0.98718,0.98983,0.69846,1.16069,0.42075,1.45745,0.00127723,0.00127723,0.00127723
86,12708.3,0.96977,0.45776,1.2049,0.99483,0.99145,0.99,0.69286,1.14995,0.42833,1.47401,0.00126872,0.00126872,0.00126872
87,12846.4,0.94917,0.44,1.2014,0.99315,0.99573,0.99496,0.68526,1.16518,0.4093,1.47279,0.00126016,0.00126016,0.00126016
88,12984.5,0.93285,0.42751,1.18432,0.99396,0.99145,0.98996,0.69251,1.15387,0.41094,1.43719,0.00125154,0.00125154,0.00125154
89,13123.1,0.94638,0.4291,1.21171,0.99315,0.99145,0.98996,0.68374,1.16164,0.40751,1.51217,0.00124285,0.00124285,0.00124285
90,13261.3,0.92777,0.43917,1.1892,0.99752,0.99573,0.995,0.70478,1.13611,0.3945,1.47418,0.00123411,0.00123411,0.00123411
91,13399.7,0.96621,0.43909,1.2055,0.99265,0.99145,0.98974,0.70104,1.1583,0.41296,1.43708,0.00122531,0.00122531,0.00122531
92,13539.2,0.95013,0.42277,1.19886,0.9982,0.99573,0.995,0.70062,1.15557,0.40393,1.44005,0.00121645,0.00121645,0.00121645
93,13686.8,0.95232,0.44685,1.19989,0.99805,0.99573,0.995,0.69774,1.1649,0.42476,1.44364,0.00120754,0.00120754,0.00120754
94,13866.5,0.96901,0.4488,1.21697,0.99752,0.9947,0.995,0.71274,1.11816,0.40437,1.4141,0.00119858,0.00119858,0.00119858
95,14070.6,0.94222,0.42252,1.19242,0.99781,0.99145,0.99483,0.6987,1.11258,0.41243,1.42368,0.00118956,0.00118956,0.00118956
96,14252.7,0.90659,0.42542,1.16608,0.99261,0.99145,0.99252,0.69695,1.13217,0.4059,1.46291,0.00118049,0.00118049,0.00118049
97,14433.4,0.9436,0.44297,1.20113,0.9946,0.99145,0.99,0.68959,1.15084,0.41987,1.43411,0.00117138,0.00117138,0.00117138
98,14611.6,0.92348,0.43532,1.19434,0.99249,0.99145,0.98996,0.70556,1.12964,0.39835,1.41829,0.00116221,0.00116221,0.00116221
99,14790,0.92778,0.43787,1.18686,0.99167,0.99145,0.98987,0.69949,1.16042,0.41142,1.44876,0.001153,0.001153,0.001153
100,14970.5,0.91358,0.41581,1.17749,0.99727,0.99145,0.99475,0.69475,1.1472,0.40701,1.44602,0.00114374,0.00114374,0.00114374
101,15151.6,0.92491,0.42157,1.18872,0.99808,0.99145,0.99,0.6994,1.1555,0.40922,1.44496,0.00113444,0.00113444,0.00113444
102,15332.3,0.93961,0.43054,1.20708,0.99766,0.99145,0.99492,0.70598,1.13848,0.39415,1.39387,0.0011251,0.0011251,0.0011251
103,15511.9,0.907,0.42317,1.16164,0.99631,0.9821,0.99068,0.71305,1.12278,0.41101,1.38244,0.00111571,0.00111571,0.00111571
104,15692.8,0.94357,0.43468,1.19327,0.99833,0.99573,0.995,0.71434,1.12093,0.39414,1.41132,0.00110629,0.00110629,0.00110629
105,15874,0.87579,0.40355,1.14038,0.99568,0.99573,0.995,0.71542,1.107,0.39093,1.41424,0.00109683,0.00109683,0.00109683
106,16054.2,0.89856,0.42167,1.17024,0.99756,0.99573,0.995,0.69437,1.13478,0.41443,1.44167,0.00108732,0.00108732,0.00108732
